City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
109,darjiling,27.0333,88.2667,15.01,74,1,3.43,IN,1683590439
110,moose jaw,50.4001,-105.5344,18.15,45,40,6.69,CA,1683590440
111,ulladulla,-35.35,150.4667,13.2,55,6,1.08,AU,1683590440
112,el porvenir,13.7617,-87.3458,31.63,36,38,1.73,HN,1683590440
113,bredasdorp,-34.5322,20.0403,12.56,94,26,0.77,ZA,1683590440
114,puerto deseado,-47.7503,-65.8938,9.85,52,49,5.76,AR,1683590441
115,kuala tungkal,-0.8167,103.4667,23.92,95,100,1.11,ID,1683590441
116,keflavik,64.0049,-22.5624,9.95,93,75,2.57,IS,1683590446
117,punta arenas,-53.15,-70.9167,7.06,76,75,5.66,CL,1683590257
118,ribeira grande,38.5167,-28.7,15.99,94,99,1.34,PT,1683590447
119,rundu,-17.9333,19.7667,16.79,44,4,1.5,NA,1683590447
120,sakaiminato,35.55,133.2333,12.96,87,40,2.06,JP,1683590447
121,vadso,70.0744,29.7487,2.49,87,100,4.63,NO,1683590448
122,viedma,-40.8135,-62.9967,10.33,61,2,1.03,AR,1683590448
123,nyurba,63.2842,118.3319,-0.35,79,96,4.67,RU,1683590448
124,jalai nur,49.45,117.7,13.53,20,8,4.94,CN,1683590448
125,taltal,-25.4,-70.4833,18.03,74,41,4.47,CL,1683590449
126,polyarnyy,69.1989,33.4478,1.01,99,100,4.22,RU,1683590449
127,weno,7.4515,151.8468,28.58,75,100,1.62,FM,1683590449
128,hobyo,5.3505,48.5268,27.18,75,17,8.47,SO,1683590449
129,puerto ayora,-0.7393,-90.3518,26.97,94,74,1.79,EC,1683590450
130,santo antonio do ica,-3.1022,-67.9397,24.08,98,75,0.5,BR,1683590450
131,den burg,53.0542,4.7972,13.99,89,100,2.57,NL,1683590450
132,bodaybo,57.8506,114.1933,4.46,100,100,0.93,RU,1683590450
133,afaahiti,-17.75,-149.2833,28.93,70,34,2.15,PF,1683590451
134,shache,38.4167,77.2406,11.7,17,85,2.97,CN,1683590451
135,tazacorte,28.629,-17.9293,20.54,78,0,6.17,ES,1683590451
136,kingston,17.997,-76.7936,28.53,82,40,8.75,JM,1683590392
137,sao joao da barra,-21.6403,-41.0511,23.05,94,21,1.65,BR,1683590451
138,ercis,39.0287,43.3586,6.31,80,14,0.81,TR,1683590452
139,chonchi,-42.6128,-73.8092,8.4,89,100,1.32,CL,1683590452
140,hermanus,-34.4187,19.2345,16.0,94,12,1.58,ZA,1683590452
141,petropavlovsk-kamchatsky,53.0452,158.6483,5.33,56,75,6.0,RU,1683590452
142,harstad,68.799,16.5293,7.01,70,100,4.47,NO,1683590453
143,musafir-khana,26.3667,81.8,29.01,26,0,0.96,IN,1683590453
144,bethel,41.3712,-73.414,20.27,61,40,3.01,US,1683590453
145,kodinsk,58.6881,99.1844,11.73,66,38,2.75,RU,1683590453
146,kaura namoda,12.5898,6.5779,29.99,28,100,2.23,NG,1683590454
147,zaozersk,69.4005,32.4476,0.78,98,100,2.86,RU,1683590454
148,gillette,44.2911,-105.5022,20.51,17,0,5.14,US,1683590195
149,hotan,37.0997,79.9269,10.6,18,100,2.95,CN,1683590454
150,port saint john's,-31.6229,29.5448,15.47,94,91,1.53,ZA,1683590455
151,bamboo flat,11.7,92.7167,29.17,77,100,4.95,IN,1683590455
152,naurskaya,43.6519,45.3133,11.52,86,100,3.11,RU,1683590455
153,codrington,-38.2667,141.9667,14.17,75,100,4.89,AU,1683590455
154,matadi,-5.8167,13.45,24.93,98,79,0.76,CD,1683590456
155,constantia,44.1833,28.65,9.38,87,100,5.59,RO,1683590249
156,iskateley,67.6803,53.1512,-0.87,85,100,6.26,RU,1683590456
157,balabac,7.9868,117.0645,28.74,73,96,1.28,PH,1683590456
158,port mathurin,-19.6833,63.4167,25.84,72,0,8.72,MU,1683590456
159,fale old settlement,-9.3852,-171.2468,29.3,76,4,5.62,TK,1683590457
160,kapit,2.0167,112.9333,25.62,84,99,1.07,MY,1683590457
161,dali,25.7,100.1833,16.25,48,79,1.72,CN,1683590457
162,susuman,62.7833,148.1667,1.61,88,82,1.31,RU,1683590458
163,north platte,41.1239,-100.7654,26.18,24,29,0.89,US,1683590458
164,anadyr,64.75,177.4833,-1.72,86,100,6.71,RU,1683590458
165,santa cruz,-17.8,-63.1667,20.03,77,75,3.6,BO,1683590458
166,burang,30.25,81.1667,-4.64,87,87,2.25,CN,1683590387
167,nar'yan-mar,67.6713,53.087,-0.82,85,100,6.26,RU,1683590459
168,huayucachi,-12.1333,-75.2333,7.55,98,77,1.91,PE,1683590459
169,khabary,53.6259,79.5345,13.14,45,53,4.11,RU,1683590459
170,bhamo,24.2667,97.2333,26.62,47,11,0.39,MM,1683590459
171,nova xavantina,-14.6667,-52.35,23.5,66,94,1.21,BR,1683590459
172,east london,-33.0153,27.9116,16.58,80,84,1.61,ZA,1683590460
173,sabang,5.8933,95.3214,28.57,69,100,6.64,ID,1683590460
174,badger,64.8,-147.5333,12.14,46,97,2.57,US,1683590460
175,haiku-pauwela,20.9219,-156.3051,25.58,71,9,10.2,US,1683590461
